AA	AAL	American Airlines Inc.	Американские авиалинии
LO	LOT	LOT Polish Airlines	LOT
LP	LPE	Lan Peru S.A.	Лан Перу Са
LQ	MKR	Lanmei Airlines	Ланмеи Аирлинес
LR	LRC	Avianca Costa Rica	Авианка Коста Рика
LS	EXS	Jet2.com Limited	Джет2ком Лимитед
LT	SNG	LongJiang Airlines	Лонгджианг Аирлинес
LT	LTU	Air Lituanica (Ceased)	Аир Литуаника
LU	LXP	LATAM Express	Латам Експресс
LV	BOS	Openskies	Опенскиес
LW	NWI	Pacific Wings, L.L.C.	Пакифик Вингс Ллк
LX	SWR	Swiss	Свисс
LY	ELY	EL AL Israel Airlines Ltd.	Ел Ал Исрэл Аирлинес Лтд
LZ	LBY	Belle Air Company	Белле Аир Компанй
L2	LYC	Lynden Air Cargo, LLC	Лйнден Аир Карго Ллк
L3	JOS	DHL de Guatemala	Дхл Де Гуатемала
L5	TLB	Atlantique Air Assistance (Ceased)	Атлантикуе Аир Ассистанке
L6	MAI	Mauritania Airlines	Мауританиа Аирлинес
L7	LAE	LATAM Cargo Colombia	Латам Карго Коломбиа
MA	MAH	Malev	Малев
MB	MNB	MNG Airlines Cargo	Мнг Аирлинес Карго
MD	MDG	Air Madagascar	Аир Мадагаскар
ME	MEA	Middle East Airlines AirLiban	Миддле Еаст Аирлинес Аирлибан
MF	CXA	Xiamen Airlines	Ксиамен Аирлинес
MG	EZA	Eznis Airways	Езнис Аирвайс
MG	 	Miami Air Lease (Ceased)	Миами Аир Леасе
MH	MAS	Malaysia Airlines	Malaysia Airlines
MI	SLK	Silk Air	Силк Аир
MJ	MYW	Myway Airlines	Мйвай Аирлинес
MJ	MLR	Mihin Lanka (Ceased)	Михин Ланка
MK	MAU	Air Mauritius	Аир Мауритиус
ML	BIE	Air Mediterranee	Аир Медитерранее
MM	APJ	Peach Aviation Limited	Пеач Авиатион Лимитед
MN	CAW	Comair (Ceased)	Комаир
MO	CAV	Calm Air International Ltd.	Калм Аир Интернатионал Лтд
MP	MPH	Martinair Holland N.V.	Мартинаир Холланд Нв
MQ	ENY	Envoy Air	Енвой Аир
MR	MML	Hunnu Air LLC	Хунну Аир Ллк
MS	MSR	Egypt Air	Егйпт Аир
MT	TCX	Thomas Cook Airlines Limited of Manchester	Томас Коок Аирлинес Лимитед Оф Манчестер
MU	CES	China Eastern Airlines	Чина Еастерн Аирлинес
MV	MDF	Air Mediterranean	Аир Медитерранеан
MW	MHD	Mokulele Flight Service	Мокулеле Флигхт Сервике
MX	MXY	Breeze Airways	Бреезе Аирвайс
MX	MXA	Compania Mexicana (Ceased)	Компаниа Мексикана
M2	 	Sunrise Airlines Inc.	Сунрисе Аирлинес Инк
M3	TUS	LATAM Cargo Brasil	Латам Карго Брасил
M4	MSA	Poste Air Cargo	Посте Аир Карго
M5	MGC	Air Cargo Mongolia LLC	Аир Карго Монголиа Ллк
M6	AJT	Amerijet	Америджет
M7	MAA	Masair	Масаир
M9	 	Motor-Sich JSC	Мотор-сич Джск
NC	NAC	Northern Air Cargo	Нортерн Аир Карго
ND	 	Nordica Airline	Нордика Аирлине
NE	NMA	Nesma Airlines	Несма Аирлинес
NF	AVN	Air Vanuatu (Operations) Limited	Аир Вануату Лимитед
NH	ANA	All Nippon Airways Co. Ltd.	ANA
NI	PGA	Portugalia Alines	Португалиа Алинес
NJ	NGB	Nordic Global Airlines Oy	Нордик Глобал Аирлинес Ой
NK	NKS	Spirit Airlines	Спирит Аирлинес
NL	AEH	Aero4M	Эро4м
NL	SAI	Shaheen Air (Ceased)	Шахеен Аир
NN	MOV	VIM Airlines	Вим Аирлинес
NO	NAB	Niger Air Cargo	Нигер Аир Карго
NO*	NOS	Neos S.P.A.	Неос Спа
NP	NIA	Nile Air	Ниле Аир
NS	HBH	Hebei Airlines	Хебеи Аирлинес
NT	IBB	Binter Canarias	Бинтер Канариас
NU	JTA	Japan Transocean Air Co. Ltd.	Джапан Трансокеан Аир Ко Лтд
NV	IRG	Iranian Naft Airlines	Ираниан Нафт Аирлинес
NX	AMU	Air Macau Company Limited	Аир Макау Компанй Лимитед
NY	FXI	Flugfelag Islands ehf	Флугфелаг Исландс Ехф
NZ	ANZ	Air New Zealand Ltd.	Air New Zealand
NZ	EAG	Eagle Airways (Ceased)	Еагле Аирвайс
N2	NIG	Aero Contractors	Эро Контракторс
N2	TMA	Trans-Mediterranean Airways (Ceased)	Транс-медитерранеан Аирвайс
N4	NWS	Nordwind Airlines	Nordwind Airlines
N7	NEP	My Jet Xpress Airlines	Мй Джет Кспресс Аирлинес
N8	MUA	National Air Cargo Group, Inc.	Натионал Аир Карго Груп Инк
N9	NVR	Nova Airlines AB	Нова Аирлинес Аб
OA	OAL	Olympic Air	Олймпик Аир
OB	BOV	Boliviana de Aviacion	Боливиана Де Авиакион
OB	BLA	Blue Air (Ceased)	Блуе Аир
OD	MXD	Malindo Airline	Малиндо Аирлине
OH	JIA	PSA Airlines	Пса Аирлинес
OJ	FJM	Fly Jamaica Airways	Флй Джамаика Аирвайс
OK	CSA	Czech Airlines Cargo	Czech Airlines Cargo
OL	PAO	Samoa Airways	Самоа Аирвайс
OM	MGL	MIAT Mongolian Airlines	Миат Монголиан Аирлинес
ON	RON	Nauru Airlines	Науру Аирлинес
OO	SKW	Skywest Airlines	Скйвест Аирлинес
OP	DIG	PassionAir	Пассионаир
OQ	CQN	Chongqing Airlines	Чонгкинг Аирлинес
OR	TFL	TUI Airlines Nederland B.V.	Туи Аирлинес Недерланд Бв
OS	AUA	Austrian Airlines	Austrian Airlines
OU	CTN	Croatia Airlines	Кроатиа Аирлинес
OV	OMS	Salam Air	Салам Аир
OV	ELL	Estonian Air (Ceased)	Естониан Аир
OX	OEA	Orient Thai Airlines	Ориент Таи Аирлинес
OY	OAE	Omni Air International	Омни Аир Интернатионал
OZ	AAR	Asiana Airlines	Asiana Airlines
O2	 	Hopscotch Air	Хопскотч Аир
O3	CSS	SF Airlines	Сф Аирлинес
O6	ONE	Oceanair Linhas (Ceased)	Океанаир Линхас
O8	SQM	Siam Air	Сиам Аир
O9	NOV	Nova Airlines	Нова Аирлинес
PA	ABQ	Airblue	Аирблуе
PA	PAA	Pan American World Airways (Ceased)	Пан Американ Ворлд Аирвайс
PB	PVL	Provincial Airlines	Провинкиал Аирлинес
PC	PGT	Pegasus Airlines	Pegasus
PD	POE	Porter Airlines Inc.	Портер Аирлинес Инк
PE	PEV	People's Airline	Пеоплес Аирлине
PE*	PAQ	Pacific Air Express Australia Pty Limited.	Пакифик Аир Експресс Аустралиа Птй Лимитед
PF	 	Air Sial	Аир Сиал
PF	PRI	Primera Air (Ceased)	Примера Аир
PG	BKP	Bangkok Airways	Бангкок Аирвайс
PJ	SPM	Air Saint Pierre	Аир Саинт Пиерре
PK	PIA	Pakistan International Airlines	Pakistan International Airlines
PM	CNF	Canary Fly	Канарй Флй
PN	CHB	China West Air Co. Ltd.	Чина Вест Аир Ко Лтд
PO	PAC	Polar Air Cargo	Полар Аир Карго
PQ	SQP	SkyUp Airlines	Скюп Аирлинес
PR	PAL	Philippine Airlines	Philippine Airlines
PS	AUI	Ukraine International Airlines	Международные авиалинии Украины
PT	PDT	Piedmont Airlines	Пиедмонт Аирлинес
PU	PUE	Plus Ultra Lineas	Плус Ултра Линеас
PW	PRF	Precision Air	Прекисион Аир
PX	ANG	Air Niugini	Аир Ниугини
PY	SLM	Surinam Airways Ltd.	Суринам Аирвайс Лтд
PZ	LAP	TAM - Transportes Aereos del Mercosur S.A.	Там - Транспортес Эреос Дел Меркосур Са
P0	PFZ	Proflight Zambia	Профлигхт Замбиа
